Source,Pearson r,Pearson exact p,Spearman rho,Spearman exact p
Population,-0.244,0.7917,-0.2,0.9167
Enthusiasts,-0.127,0.9167,-0.2,0.9167
Moderates,-0.254,0.7917,-0.2,0.9167
Sceptics,-0.362,0.5833,-0.2,0.9167
